ts_code,fullname
000001.SZ,平安银行股份有限公司
000002.SZ,万科企业股份有限公司
000004.SZ,深圳中国农大科技股份有限公司
000005.SZ,深圳世纪星源股份有限公司
000006.SZ,深圳市振业(集团)股份有限公司
000007.SZ,深圳市全新好股份有限公司
000008.SZ,神州高铁技术股份有限公司
000009.SZ,中国宝安集团股份有限公司
000010.SZ,深圳美丽生态股份有限公司
000011.SZ,深圳市物业发展(集团)股份有限公司
000012.SZ,中国南玻集团股份有限公司
000014.SZ,沙河实业股份有限公司
000016.SZ,康佳集团股份有限公司
000017.SZ,深圳中华自行车(集团)股份有限公司
000018.SZ,神州长城股份有限公司
000019.SZ,深圳市深宝实业股份有限公司
000020.SZ,深圳中恒华发股份有限公司
000021.SZ,深圳长城开发科技股份有限公司
000022.SZ,深圳赤湾港航股份有限公司
000023.SZ,深圳市天地(集团)股份有限公司
000025.SZ,深圳市特力(集团)股份有限公司
000026.SZ,飞亚达(集团)股份有限公司
000027.SZ,深圳能源集团股份有限公司
000028.SZ,国药集团一致药业股份有限公司
000029.SZ,深圳经济特区房地产(集团)股份有限公司
000030.SZ,富奥汽车零部件股份有限公司
000031.SZ,中粮地产(集团)股份有限公司
000032.SZ,深圳市桑达实业股份有限公司
000034.SZ,神州数码集团股份有限公司
000035.SZ,中国天楹股份有限公司
000036.SZ,华联控股股份有限公司
000037.SZ,深圳南山热电股份有限公司
000038.SZ,深圳大通实业股份有限公司
000039.SZ,中国国际海运集装箱(集团)股份有限公司
000040.SZ,东旭蓝天新能源股份有限公司
000042.SZ,深圳市中洲投资控股股份有限公司
000043.SZ,中航善达股份有限公司
000045.SZ,深圳市纺织(集团)股份有限公司
000046.SZ,泛海控股股份有限公司
000048.SZ,深圳市康达尔(集团)股份有限公司
000049.SZ,深圳市德赛电池科技股份有限公司
000050.SZ,天马微电子股份有限公司
000055.SZ,方大集团股份有限公司
000056.SZ,深圳市皇庭国际企业股份有限公司
000058.SZ,深圳赛格股份有限公司
000059.SZ,北方华锦化学工业股份有限公司
000060.SZ,深圳市中金岭南有色金属股份有限公司
000061.SZ,深圳市农产品集团股份有限公司
000062.SZ,深圳华强实业股份有限公司
000063.SZ,中兴通讯股份有限公司
000065.SZ,北方国际合作股份有限公司
000066.SZ,中国长城科技集团股份有限公司
000068.SZ,深圳华控赛格股份有限公司
000069.SZ,深圳华侨城股份有限公司
000070.SZ,深圳市特发信息股份有限公司
000078.SZ,深圳市海王生物工程股份有限公司
000088.SZ,深圳市盐田港股份有限公司
000089.SZ,深圳市机场股份有限公司
000090.SZ,深圳市天健(集团)股份有限公司
000096.SZ,深圳市广聚能源股份有限公司
000099.SZ,中信海洋直升机股份有限公司
000100.SZ,TCL集团股份有限公司
000150.SZ,宜华健康医疗股份有限公司
000151.SZ,中成进出口股份有限公司
000153.SZ,安徽丰原药业股份有限公司
000155.SZ,四川省新能源动力股份有限公司
000156.SZ,华数传媒控股股份有限公司
000157.SZ,中联重科股份有限公司
