code,ind
000001.SZ,银行
000002.SZ,房地产
000004.SZ,医药生物
000005.SZ,公用事业
000006.SZ,房地产
000007.SZ,综合
000008.SZ,机械设备
000009.SZ,综合
000010.SZ,建筑装饰
000011.SZ,房地产
000012.SZ,建筑材料
000014.SZ,房地产
000016.SZ,家用电器
000017.SZ,汽车
000018.SZ,建筑装饰
000019.SZ,食品饮料
000020.SZ,电子
000021.SZ,计算机
000022.SZ,交通运输
000023.SZ,建筑材料
000025.SZ,汽车
000026.SZ,轻工制造
000027.SZ,公用事业
000028.SZ,医药生物
000029.SZ,房地产
000030.SZ,汽车
000031.SZ,房地产
000032.SZ,通信
000034.SZ,计算机
000035.SZ,公用事业
000036.SZ,房地产
000037.SZ,公用事业
000038.SZ,传媒
000039.SZ,机械设备
000040.SZ,公用事业
000042.SZ,房地产
000043.SZ,房地产
000045.SZ,电子
000046.SZ,房地产
000048.SZ,农林牧渔
000049.SZ,电子
000050.SZ,电子
000055.SZ,建筑装饰
000056.SZ,房地产
000058.SZ,商业贸易
000059.SZ,化工
000060.SZ,有色金属
000061.SZ,商业贸易
000062.SZ,电子
000063.SZ,通信
000065.SZ,建筑装饰
000066.SZ,计算机
000068.SZ,公用事业
000069.SZ,房地产
000070.SZ,通信
000078.SZ,医药生物
000088.SZ,交通运输
000089.SZ,交通运输
000090.SZ,房地产
000096.SZ,化工
000099.SZ,交通运输
000100.SZ,家用电器
000150.SZ,医药生物
000151.SZ,商业贸易
000153.SZ,医药生物
000155.SZ,商业贸易
000156.SZ,传媒
000157.SZ,机械设备
000158.SZ,计算机
000159.SZ,化工
000166.SZ,非银金融
000301.SZ,公用事业
000333.SZ,家用电器
000338.SZ,汽车
000400.SZ,电气设备
000401.SZ,建筑材料
000402.SZ,房地产
000403.SZ,医药生物
000404.SZ,家用电器
000407.SZ,公用事业
000408.SZ,商业贸易
000409.SZ,综合
000410.SZ,机械设备
000411.SZ,医药生物
000413.SZ,电子
000415.SZ,非银金融
000416.SZ,非银金融
000417.SZ,商业贸易
000418.SZ,家用电器
000419.SZ,商业贸易
000420.SZ,化工
000421.SZ,公用事业
000422.SZ,化工
000423.SZ,医药生物
000425.SZ,机械设备
